MS3_id	ipro_id	ipro_descr
MS3_00058	IPR005062	SAC3/GANP/THP3
MS3_00064	IPR022786	Geminin/Multicilin
MS3_00067	IPR001373	Cullin, N-terminal
MS3_00067	IPR014786	Anaphase-promoting complex subunit 2, C-terminal
MS3_00068	IPR022783	GC-rich sequence DNA-binding factor domain
MS3_00074	IPR019831	Manganese/iron superoxide dismutase, N-terminal
MS3_00074	IPR019832	Manganese/iron superoxide dismutase, C-terminal
MS3_00075	IPR000504	RNA recognition motif domain
MS3_00077	IPR000719	Protein kinase domain
MS3_00078	IPR003697	Maf-like protein
MS3_00079	IPR002129	Pyridoxal phosphate-dependent decarboxylase
MS3_00082	IPR004147	UbiB domain
MS3_00083	IPR013098	Immunoglobulin I-set
MS3_00085	IPR000719	Protein kinase domain
MS3_00088	IPR000719	Protein kinase domain
MS3_00090	IPR001164	Arf GTPase activating protein
MS3_00092	IPR003511	HORMA domain
MS3_00093	IPR000595	Cyclic nucleotide-binding domain
MS3_00093	IPR001895	Ras guanine-nucleotide exchange factors catalytic domain
MS3_00094	IPR000717	Proteasome component (PCI) domain
MS3_00095	IPR027859	Domain of unknown function DUF4457
MS3_00096	IPR000008	C2 domain
MS3_00097	IPR003034	SAP domain
MS3_00097	IPR025954	DBC1/CARP1 catalytically inactive NUDIX hydrolase domain
MS3_00100	IPR000719	Protein kinase domain
MS3_00103	IPR011644	Heme-NO binding
MS3_00104	IPR000719	Protein kinase domain
MS3_00106	IPR001849	Pleckstrin homology domain
MS3_00108	IPR001680	WD40 repeat
MS3_00109	IPR001054	Adenylyl cyclase class-3/4/guanylyl cyclase
MS3_00110	IPR005946	Ribose-phosphate diphosphokinase
MS3_00110	IPR029099	Ribose-phosphate pyrophosphokinase, N-terminal domain
MS3_00116	IPR005135	Endonuclease/exonuclease/phosphatase
MS3_00118	IPR026822	Spp2/MOS2, G-patch domain
MS3_00120	IPR001330	PFTB repeat
MS3_00124	IPR000904	Sec7 domain
MS3_00126	IPR002738	RNase P subunit p30
MS3_00127	IPR001258	NHL repeat
MS3_00128	IPR002931	Transglutaminase-like
MS3_00130	IPR011701	Major facilitator superfamily
MS3_00131	IPR002223	Pancreatic trypsin inhibitor Kunitz domain
MS3_00135	IPR000195	Rab-GTPase-TBC domain
MS3_00135	IPR004182	GRAM domain
MS3_00135	IPR024761	Transcription factor IIIC, 90kDa subunit, N-terminal
MS3_00138	IPR019357	Predicted coiled-coil protein (DUF2205)
MS3_00139	IPR000504	RNA recognition motif domain
MS3_00140	IPR001680	WD40 repeat
MS3_00141	IPR006612	Zinc finger, C2CH-type
MS3_00142	IPR006020	PTB/PI domain
MS3_00143	IPR003781	CoA-binding
MS3_00143	IPR005811	ATP-citrate lyase/succinyl-CoA ligase
MS3_00146	IPR007225	Exocyst complex component EXOC6/Sec15
MS3_00147	IPR020189	Translation elongation factor, IF5A C-terminal
MS3_00150	IPR001715	Calponin homology domain
MS3_00151	IPR010795	Prenylcysteine lyase
MS3_00152	IPR032151	Cilia- and flagella-associated protein 61, N-terminal domain
MS3_00153	IPR002126	Cadherin
MS3_00155	IPR003788	Protein arginine methyltransferase NDUFAF7
MS3_00156	IPR000331	Rap GTPase activating protein domain
MS3_00159	IPR001680	WD40 repeat
MS3_00160	IPR002125	Cytidine and deoxycytidylate deaminase domain
MS3_00161	IPR007225	Exocyst complex component EXOC6/Sec15
MS3_00162	IPR001054	Adenylyl cyclase class-3/4/guanylyl cyclase
MS3_00162	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
MS3_00163	IPR000692	Fibrillarin
MS3_00166	IPR002073	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain
MS3_00167	IPR007863	Peptidase M16, C-terminal
MS3_00167	IPR011765	Peptidase M16, N-terminal
MS3_00167	IPR032632	Peptidase M16, middle/third domain
MS3_00168	IPR001478	PDZ domain
MS3_00169	IPR001356	Homeobox domain
MS3_00169	IPR031701	Homeobox protein SIX1, N-terminal SD domain
MS3_00170	IPR032632	Peptidase M16, middle/third domain
MS3_00172	IPR001126	UmuC domain
MS3_00172	IPR002088	Protein prenyltransferase, alpha subunit
MS3_00172	IPR017961	DNA polymerase, Y-family, little finger domain
MS3_00172	IPR024728	DNA polymerase type-Y, HhH motif
MS3_00174	IPR001841	Zinc finger, RING-type
MS3_00174	IPR003137	PA domain
MS3_00175	IPR008753	Peptidase M13, N-terminal domain
MS3_00178	IPR001163	LSM domain, eukaryotic/archaea-type
MS3_00180	IPR002048	EF-hand domain
MS3_00183	IPR002048	EF-hand domain
MS3_00184	IPR000897	Signal recognition particle, SRP54 subunit, GTPase domain
MS3_00184	IPR004125	Signal recognition particle, SRP54 subunit, M-domain
MS3_00185	IPR001533	Transcriptional coactivator/pterin dehydratase
MS3_00187	IPR001019	Guanine nucleotide binding protein (G-protein), alpha subunit
MS3_00188	IPR027911	Domain of unknown function DUF4604
MS3_00189	IPR001806	Small GTPase superfamily
MS3_00193	IPR001680	WD40 repeat
MS3_00195	IPR000209	Peptidase S8/S53 domain
MS3_00195	IPR022229	Peptidase S8A, tripeptidyl peptidase II
MS3_00196	IPR004142	NDRG
MS3_00199	IPR000756	Diacylglycerol kinase, accessory domain
MS3_00199	IPR001206	Diacylglycerol kinase, catalytic domain
MS3_00200	IPR007304	TAP42-like protein
MS3_00202	IPR012959	CPL domain
MS3_00203	IPR013098	Immunoglobulin I-set
MS3_00205	IPR001372	Dynein light chain, type 1/2
MS3_00207	IPR001991	Sodium:dicarboxylate symporter
MS3_00209	IPR001606	ARID DNA-binding domain
MS3_00210	IPR032321	Centrosomal protein of 290kDa, coiled-coil region
MS3_00211	IPR001628	Zinc finger, nuclear hormone receptor-type
MS3_00212	IPR025481	Cell morphogenesis protein C-terminal
MS3_00212	IPR025614	Cell morphogenesis protein N-terminal
MS3_00212	IPR029473	Cell morphogenesis central region
MS3_00213	IPR018034	KRR1 interacting protein 1
MS3_00213	IPR024626	Kri1-like, C-terminal
MS3_00214	IPR006652	Kelch repeat type 1
MS3_00216	IPR032425	Talin, N-terminal F0 domain
MS3_00217	IPR001478	PDZ domain
MS3_00217	IPR020683	Ankyrin repeat-containing domain
MS3_00220	IPR003877	SPRY domain
MS3_00223	IPR011701	Major facilitator superfamily
MS3_00225	IPR000818	TEA/ATTS domain
MS3_00229	IPR011701	Major facilitator superfamily
MS3_00231	IPR011701	Major facilitator superfamily
MS3_00232	IPR000210	BTB/POZ domain
MS3_00232	IPR011705	BTB/Kelch-associated
MS3_00233	IPR000504	RNA recognition motif domain
MS3_00234	IPR000276	G protein-coupled receptor, rhodopsin-like
MS3_00235	IPR001320	Ionotropic glutamate receptor
MS3_00235	IPR001828	Receptor, ligand binding region
MS3_00235	IPR019594	Ionotropic glutamate receptor, L-glutamate and glycine-binding domain
MS3_00237	IPR011701	Major facilitator superfamily
MS3_00238	IPR011701	Major facilitator superfamily
MS3_00239	IPR019331	FAM192A/Fyv6, N-terminal
MS3_00240	IPR003495	CobW/HypB/UreG, nucleotide-binding domain
MS3_00242	IPR002778	Signal recognition particle, SRP19 subunit
MS3_00243	IPR006680	Amidohydrolase-related
MS3_00244	IPR010703	Dedicator of cytokinesis, C-terminal
MS3_00244	IPR027007	DHR-1 domain
MS3_00245	IPR002126	Cadherin
MS3_00246	IPR002073	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain
MS3_00246	IPR003018	GAF domain
MS3_00248	IPR007484	Peptidase M28
MS3_00251	IPR000421	Coagulation factor 5/8 C-terminal domain
MS3_00252	IPR002126	Cadherin
MS3_00254	IPR000885	Fibrillar collagen, C-terminal
MS3_00254	IPR008160	Collagen triple helix repeat
MS3_00255	IPR013098	Immunoglobulin I-set
MS3_00256	IPR004000	Actin family
MS3_00258	IPR002528	Multi antimicrobial extrusion protein
MS3_00259	IPR001577	Peptidase M8, leishmanolysin
MS3_00262	IPR027791	Galactosyltransferase, C-terminal
MS3_00262	IPR027995	Galactosyltransferase, N-terminal
MS3_00263	IPR001577	Peptidase M8, leishmanolysin
MS3_00264	IPR001611	Leucine-rich repeat
MS3_00266	IPR002126	Cadherin
MS3_00269	IPR000742	EGF-like domain
MS3_00269	IPR002126	Cadherin
MS3_00269	IPR013032	EGF-like, conserved site
MS3_00271	IPR002126	Cadherin
MS3_00272	IPR001628	Zinc finger, nuclear hormone receptor-type
MS3_00273	IPR021757	Ribosomal protein L46
MS3_00274	IPR000253	Forkhead-associated (FHA) domain
MS3_00277	IPR000595	Cyclic nucleotide-binding domain
MS3_00277	IPR003117	cAMP-dependent protein kinase regulatory subunit, dimerization-anchoring domain
MS3_00279	IPR000276	G protein-coupled receptor, rhodopsin-like
MS3_00280	IPR004274	FCP1 homology domain
MS3_00283	IPR002903	Ribosomal RNA small subunit methyltransferase H
MS3_00286	IPR023210	NADP-dependent oxidoreductase domain
MS3_00287	IPR001377	Ribosomal protein S6e
MS3_00288	IPR000307	Ribosomal protein S16
MS3_00289	IPR000403	Phosphatidylinositol 3-/4-kinase, catalytic domain
MS3_00289	IPR001263	Phosphoinositide 3-kinase, accessory (PIK) domain
MS3_00293	IPR007940	SH3-binding 5
MS3_00294	IPR001433	Oxidoreductase FAD/NAD(P)-binding
MS3_00294	IPR008333	Oxidoreductase, FAD-binding domain
MS3_00296	IPR010876	NICE-3 predicted
MS3_00301	IPR005024	Snf7 family
MS3_00305	IPR029344	Histone RNA hairpin-binding protein, RNA-binding domain
MS3_00306	IPR001060	FCH domain
MS3_00306	IPR018808	Muniscin C-terminal
MS3_00307	IPR013096	Cupin 2, conserved barrel
MS3_00308	IPR018477	Bicaudal-D protein, microtubule-associated
MS3_00310	IPR001368	TNFR/NGFR cysteine-rich region
MS3_00312	IPR022812	Dynamin superfamily
MS3_00313	IPR000198	Rho GTPase-activating protein domain
MS3_00313	IPR001060	FCH domain
MS3_00313	IPR001452	SH3 domain
MS3_00315	IPR029190	Ribosomal RNA-processing protein 14/surfeit locus protein 6, C-terminal domain
MS3_00316	IPR000608	Ubiquitin-conjugating enzyme E2
MS3_00317	IPR000198	Rho GTPase-activating protein domain
MS3_00320	IPR001650	Helicase, C-terminal
MS3_00320	IPR007502	Helicase-associated domain
MS3_00320	IPR011545	DEAD/DEAH box helicase domain
MS3_00320	IPR011709	Domain of unknown function DUF1605
MS3_00322	IPR004839	Aminotransferase, class I/classII
MS3_00324	IPR001356	Homeobox domain
MS3_00325	IPR000276	G protein-coupled receptor, rhodopsin-like
MS3_00326	IPR001060	FCH domain
MS3_00326	IPR018808	Muniscin C-terminal
MS3_00327	IPR000504	RNA recognition motif domain
MS3_00327	IPR001926	Tryptophan synthase beta subunit-like PLP-dependent enzyme
MS3_00328	IPR000276	G protein-coupled receptor, rhodopsin-like
MS3_00329	IPR000719	Protein kinase domain
MS3_00330	IPR000253	Forkhead-associated (FHA) domain
MS3_00332	IPR000276	G protein-coupled receptor, rhodopsin-like
MS3_00335	IPR001300	Peptidase C2, calpain, catalytic domain
MS3_00335	IPR022682	Peptidase C2, calpain, large subunit, domain III
MS3_00337	IPR000276	G protein-coupled receptor, rhodopsin-like
MS3_00342	IPR000276	G protein-coupled receptor, rhodopsin-like
MS3_00344	IPR000594	THIF-type NAD/FAD binding fold
MS3_00347	IPR004182	GRAM domain
MS3_00347	IPR031968	VASt domain
MS3_00350	IPR025254	Domain of unknown function DUF4201
MS3_00351	IPR004000	Actin family
MS3_00352	IPR004895	Prenylated rab acceptor PRA1
MS3_00353	IPR001806	Small GTPase superfamily
MS3_00354	IPR006555	ATP-dependent helicase, C-terminal
MS3_00355	IPR003107	HAT (Half-A-TPR) repeat
MS3_00361	IPR001715	Calponin homology domain
MS3_00361	IPR002017	Spectrin repeat
MS3_00361	IPR002048	EF-hand domain
MS3_00363	IPR000980	SH2 domain
MS3_00363	IPR001452	SH3 domain
MS3_00364	IPR000626	Ubiquitin domain
MS3_00365	IPR001303	Class II aldolase/adducin N-terminal
MS3_00367	IPR000884	Thrombospondin type-1 (TSP1) repeat
MS3_00369	IPR000504	RNA recognition motif domain
MS3_00370	IPR000536	Nuclear hormone receptor, ligand-binding domain
MS3_00372	IPR004127	Prefoldin alpha-like
MS3_00373	IPR001628	Zinc finger, nuclear hormone receptor-type
MS3_00374	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
MS3_00375	IPR001611	Leucine-rich repeat
MS3_00379	IPR001680	WD40 repeat
MS3_00380	IPR008580	PPPDE putative peptidase domain
MS3_00381	IPR029147	Domain of unknown function DUF4483
MS3_00382	IPR018484	Carbohydrate kinase, FGGY, N-terminal
MS3_00382	IPR018485	Carbohydrate kinase, FGGY, C-terminal
MS3_00383	IPR000089	Biotin/lipoyl attachment
MS3_00383	IPR001078	2-oxoacid dehydrogenase acyltransferase, catalytic domain
MS3_00384	IPR000276	G protein-coupled receptor, rhodopsin-like
MS3_00385	IPR002553	Clathrin/coatomer adaptor, adaptin-like, N-terminal
MS3_00385	IPR011710	Coatomer beta subunit, C-terminal
MS3_00385	IPR029446	Coatomer beta subunit, appendage platform domain
MS3_00388	IPR001365	Adenosine/AMP deaminase domain
MS3_00389	IPR002641	Patatin-like phospholipase domain
MS3_00391	IPR013766	Thioredoxin domain
MS3_00392	IPR019370	E2F-associated phosphoprotein
MS3_00393	IPR027999	Death-like domain of Spt6
MS3_00393	IPR028083	Spt6 acidic, N-terminal domain
MS3_00393	IPR028231	Transcription elongation factor Spt6, YqgF domain
MS3_00393	IPR032706	Transcription elongation factor Spt6, helix-hairpin-helix motif
MS3_00394	IPR023631	Amidase signature domain
MS3_00395	IPR004273	Dynein heavy chain domain
MS3_00395	IPR013594	Dynein heavy chain, domain-1
MS3_00395	IPR013602	Dynein heavy chain, domain-2
MS3_00395	IPR024317	Dynein heavy chain, P-loop containing D4 domain
MS3_00395	IPR024743	Dynein heavy chain, coiled coil stalk
MS3_00396	IPR013106	Immunoglobulin V-set domain
MS3_00396	IPR013162	CD80-like, immunoglobulin C2-set
MS3_00397	IPR002305	Aminoacyl-tRNA synthetase, class Ic
MS3_00400	IPR002293	Amino acid/polyamine transporter I
MS3_00400	IPR029485	Cationic amino acid transporter, C-terminal
MS3_00401	IPR028233	Cilia BBSome complex subunit 10
MS3_00402	IPR007233	Trafficking protein particle complex subunit
MS3_00403	IPR000504	RNA recognition motif domain
MS3_00404	IPR001950	SUI1 domain
MS3_00405	IPR002871	NIF system FeS cluster assembly, NifU, N-terminal
MS3_00407	IPR000719	Protein kinase domain
MS3_00412	IPR004148	BAR domain
MS3_00413	IPR022666	Ribosomal Proteins L2, RNA binding domain
MS3_00413	IPR022669	Ribosomal protein L2, C-terminal
MS3_00415	IPR005135	Endonuclease/exonuclease/phosphatase
MS3_00418	IPR007858	Dpy-30 motif
MS3_00420	IPR018834	DNA/RNA-binding domain, Est1-type
MS3_00420	IPR019458	Telomerase activating protein Est1
MS3_00421	IPR005455	Profilin
MS3_00424	IPR003439	ABC transporter-like
MS3_00427	IPR004088	K Homology domain, type 1
MS3_00428	IPR003958	Transcription factor CBF/NF-Y/archaeal histone domain
MS3_00429	IPR000327	POU-specific domain
MS3_00429	IPR001356	Homeobox domain
MS3_00430	IPR000504	RNA recognition motif domain
MS3_00432	IPR004088	K Homology domain, type 1
MS3_00435	IPR012981	PIH1 domain
MS3_00436	IPR004148	BAR domain
MS3_00439	IPR003323	OTU domain
MS3_00440	IPR005475	Transketolase-like, pyrimidine-binding domain
MS3_00440	IPR033248	Transketolase, C-terminal domain
MS3_00442	IPR001680	WD40 repeat
MS3_00443	IPR000719	Protein kinase domain
MS3_00444	IPR006076	FAD dependent oxidoreductase
MS3_00445	IPR001356	Homeobox domain
MS3_00446	IPR001611	Leucine-rich repeat
MS3_00447	IPR001356	Homeobox domain
MS3_00452	IPR008758	Peptidase S28
MS3_00454	IPR010280	(Uracil-5)-methyltransferase family
MS3_00455	IPR004821	Cytidyltransferase-like domain
MS3_00457	IPR001537	tRNA/rRNA methyltransferase, SpoU type
MS3_00457	IPR013123	RNA 2-O ribose methyltransferase, substrate binding
MS3_00460	IPR006925	Vps16, C-terminal
MS3_00460	IPR006926	Vps16, N-terminal
MS3_00461	IPR001394	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
MS3_00462	IPR019321	Nucleoporin Nup88
MS3_00464	IPR000504	RNA recognition motif domain
MS3_00464	IPR001650	Helicase, C-terminal
MS3_00464	IPR007502	Helicase-associated domain
MS3_00464	IPR011545	DEAD/DEAH box helicase domain
MS3_00464	IPR011709	Domain of unknown function DUF1605
MS3_00465	IPR000504	RNA recognition motif domain
MS3_00465	IPR012921	Spen paralogue and orthologue SPOC, C-terminal
MS3_00467	IPR002126	Cadherin
MS3_00467	IPR013164	Cadherin, N-terminal
MS3_00469	IPR001233	tRNA-splicing ligase, RtcB
MS3_00472	IPR013098	Immunoglobulin I-set
MS3_00473	IPR001806	Small GTPase superfamily
MS3_00475	IPR019734	Tetratricopeptide repeat
MS3_00476	IPR011128	Glycerol-3-phosphate dehydrogenase, NAD-dependent, N-terminal
MS3_00478	IPR002404	IRS-type PTB domain
MS3_00479	IPR004344	Tubulin-tyrosine ligase/Tubulin polyglutamylase
MS3_00481	IPR002126	Cadherin
MS3_00484	IPR000719	Protein kinase domain
MS3_00484	IPR003961	Fibronectin type III
MS3_00484	IPR013098	Immunoglobulin I-set
MS3_00485	IPR014782	Peptidase M1, membrane alanine aminopeptidase, N-terminal
MS3_00485	IPR015211	Peptidase M1, leukotriene A4 hydrolase/aminopeptidase C-terminal
MS3_00488	IPR001737	Ribosomal RNA adenine methyltransferase KsgA/Erm
MS3_00494	IPR001892	Ribosomal protein S13
MS3_00495	IPR002126	Cadherin
MS3_00498	IPR001780	Ribosomal protein L35A
MS3_00499	IPR000933	Glycoside hydrolase, family 29
MS3_00500	IPR001107	Band 7 domain
MS3_00504	IPR019008	Domain of unknown function DUF2012
MS3_00505	IPR001452	SH3 domain
MS3_00505	IPR008145	Guanylate kinase/L-type calcium channel beta subunit
MS3_00506	IPR000595	Cyclic nucleotide-binding domain
MS3_00507	IPR018108	Mitochondrial substrate/solute carrier
MS3_00508	IPR003953	FAD-dependent oxidoreductase 2, FAD binding domain
MS3_00508	IPR015939	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal
MS3_00511	IPR001313	Pumilio RNA-binding repeat
MS3_00516	IPR004823	TATA box binding protein associated factor (TAF)
MS3_00516	IPR011442	TAF6, C-terminal HEAT repeat domain
MS3_00517	IPR001791	Laminin G domain
MS3_00517	IPR002049	Laminin EGF domain
MS3_00517	IPR002350	Kazal domain
MS3_00519	IPR001766	Fork head domain
MS3_00522	IPR002678	GTP cyclohydrolase 1 type 2/Nif3
MS3_00525	IPR013520	Exonuclease, RNase T/DNA polymerase III
MS3_00527	IPR000668	Peptidase C1A, papain C-terminal
MS3_00527	IPR000873	AMP-dependent synthetase/ligase
MS3_00527	IPR010506	DMAP1-binding domain
MS3_00527	IPR013201	Cathepsin propeptide inhibitor domain (I29)
MS3_00528	IPR000504	RNA recognition motif domain
MS3_00529	IPR000504	RNA recognition motif domain
MS3_00530	IPR018998	Endoribonuclease XendoU
MS3_00531	IPR001372	Dynein light chain, type 1/2
MS3_00533	IPR024329	Amyloidogenic glycoprotein, E2 domain
MS3_00534	IPR018998	Endoribonuclease XendoU
MS3_00536	IPR001372	Dynein light chain, type 1/2
MS3_00539	IPR000276	G protein-coupled receptor, rhodopsin-like
MS3_00541	IPR014720	Double-stranded RNA-binding domain
MS3_00543	IPR002678	GTP cyclohydrolase 1 type 2/Nif3
MS3_00547	IPR018998	Endoribonuclease XendoU
MS3_00548	IPR005312	Protein of unknown function DUF1759
MS3_00550	IPR000715	Glycosyl transferase, family 4
MS3_00551	IPR011576	Pyridoxamine 5'-phosphate oxidase, putative
MS3_00551	IPR019576	Pyridoxine 5'-phosphate oxidase, dimerisation, C-terminal
MS3_00553	IPR000494	Receptor L-domain
MS3_00553	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
MS3_00553	IPR006211	Furin-like cysteine-rich domain
MS3_00555	IPR000719	Protein kinase domain
MS3_00557	IPR001487	Bromodomain
MS3_00557	IPR022591	Transcription initiation factor TFIID subunit 1, domain of unknown function
MS3_00560	IPR000845	Nucleoside phosphorylase domain
MS3_00563	IPR003265	HhH-GPD domain
MS3_00563	IPR012904	8-oxoguanine DNA glycosylase, N-terminal
MS3_00567	IPR001357	BRCT domain
MS3_00567	IPR002706	DNA-repair protein Xrcc1, N-terminal
MS3_00568	IPR002553	Clathrin/coatomer adaptor, adaptin-like, N-terminal
MS3_00568	IPR003164	Clathrin adaptor, alpha-adaptin, appendage, C-terminal subdomain
MS3_00568	IPR008152	Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain
MS3_00569	IPR004367	Cyclin, C-terminal domain
MS3_00569	IPR006671	Cyclin, N-terminal
MS3_00573	IPR000219	Dbl homology (DH) domain
MS3_00573	IPR001849	Pleckstrin homology domain
MS3_00574	IPR004092	Mbt repeat
MS3_00574	IPR021987	SLED domain
MS3_00575	IPR000219	Dbl homology (DH) domain
MS3_00575	IPR001849	Pleckstrin homology domain
MS3_00576	IPR003689	Zinc/iron permease
MS3_00577	IPR022238	Uncharacterised protein family, methyltransferase, Williams-Beuren syndrome
MS3_00578	IPR015172	MIF4G-like, type 1
MS3_00578	IPR015174	MIF4G-like, type 2
MS3_00579	IPR001806	Small GTPase superfamily
MS3_00583	IPR013809	ENTH  domain
MS3_00585	IPR006016	UspA
MS3_00586	IPR001024	PLAT/LH2 domain
MS3_00586	IPR001194	DENN domain
MS3_00586	IPR004012	RUN domain
MS3_00586	IPR005112	dDENN domain
MS3_00586	IPR005113	uDENN domain
MS3_00587	IPR000195	Rab-GTPase-TBC domain
MS3_00587	IPR000719	Protein kinase domain
MS3_00588	IPR011935	Conserved hypothetical protein CHP02231
MS3_00588	IPR025554	Domain of unknown function DUF4140
MS3_00591	IPR021134	Bestrophin/UPF0187
MS3_00592	IPR000906	ZU5 domain
MS3_00592	IPR002110	Ankyrin repeat
MS3_00592	IPR020683	Ankyrin repeat-containing domain
MS3_00593	IPR000326	Phosphatidic acid phosphatase type 2/haloperoxidase
MS3_00600	IPR002259	Equilibrative nucleoside transporter
MS3_00604	IPR000892	Ribosomal protein S26e
MS3_00605	IPR003386	Lecithin:cholesterol/phospholipid:diacylglycerol acyltransferase
MS3_00606	IPR009262	Solute carrier family 35 member SLC35F1/F2/F6
MS3_00607	IPR000198	Rho GTPase-activating protein domain
MS3_00607	IPR004148	BAR domain
MS3_00609	IPR002126	Cadherin
MS3_00610	IPR015021	Domain of unknown function DUF1907
MS3_00611	IPR013151	Immunoglobulin
MS3_00612	IPR019427	7TM GPCR, serpentine receptor class w (Srw)
MS3_00613	IPR007188	Actin-related protein 2/3 complex subunit 2
MS3_00615	IPR001375	Peptidase S9, prolyl oligopeptidase, catalytic domain
MS3_00615	IPR002469	Dipeptidylpeptidase IV, N-terminal domain
MS3_00616	IPR002076	ELO family
MS3_00618	IPR002076	ELO family
MS3_00621	IPR007188	Actin-related protein 2/3 complex subunit 2
MS3_00622	IPR004277	Phosphatidyl serine synthase
MS3_00623	IPR000915	60S ribosomal protein L6E
MS3_00624	IPR002469	Dipeptidylpeptidase IV, N-terminal domain
MS3_00625	IPR011538	NADH-ubiquinone oxidoreductase 51kDa subunit, FMN-binding domain
MS3_00625	IPR019554	Soluble ligand binding domain
MS3_00625	IPR019575	NADH-ubiquinone oxidoreductase 51kDa subunit, iron-sulphur binding domain
MS3_00626	IPR026966	Neurofascin/L1/NrCAM, C-terminal domain
MS3_00627	IPR005804	Fatty acid desaturase domain
MS3_00628	IPR019012	RNA cap guanine-N2 methyltransferase
MS3_00629	IPR007681	Ran-interacting Mog1 protein
MS3_00631	IPR000048	IQ motif, EF-hand binding site
MS3_00631	IPR005559	CG-1 DNA-binding domain
MS3_00633	IPR002126	Cadherin
MS3_00634	IPR018108	Mitochondrial substrate/solute carrier
MS3_00635	IPR000717	Proteasome component (PCI) domain
MS3_00635	IPR001223	Glycoside hydrolase family 18, catalytic domain
MS3_00636	IPR009851	Modifier of rudimentary, Modr
MS3_00639	IPR001214	SET domain
MS3_00639	IPR015353	Rubisco LSMT, substrate-binding domain
MS3_00642	IPR001251	CRAL-TRIO lipid binding domain
MS3_00642	IPR001936	Ras GTPase-activating protein
MS3_00644	IPR002126	Cadherin
MS3_00645	IPR000727	Target SNARE coiled-coil homology domain
MS3_00649	IPR019258	Mediator complex, subunit Med4
MS3_00650	IPR002791	Domain of unknown function DUF89
