MS3_id	male_tpm	chokepoint	mus_leth	dmel_leth	cel_leth	hsa_lower_75_qtl	sp_cov	sman_cov	sjap_cov	opvi_cov	closi_cov	fahe_cov	cel_cov	dmel_cov	mus_cov	sp_simil	sman_simil	sjap_simil	opvi_simil	closi_simil	fahe_simil	cel_simil	dmel_simil	mus_simil	ChCmpdOne	ChCmpdMore	DBCmpdOne	DBCmpdMore	uniqIpro
MS3_11568	1	0	1	0	0	1	0.859259	1	0.881481	0.881481	NA	0.881481	NA	NA	0.859259	8.4	15.3	14.9	8.9	NA	20.5	NA	NA	8.4	0	0	0	0	0
MS3_11566	0	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	62.5	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11565	0	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	37.1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11564	1	0	0	0	0	1	0.986014	1	NA	NA	0.965035	0.979021	0.909091	0.881119	0.986014	28.4	52.7	NA	NA	34.3	35.7	29.8	29.1	27.5	0	0	0	0	0
MS3_11563	0	0	1	1	1	1	0.982906	1	1	1	1	1	0.982906	0.982906	0.982906	9.6	18.2	12.8	9	14.1	34	9.3	9.7	9.6	0	0	0	0	0
MS3_11562	1	0	0	0	0	1	0.969231	1	1	1	1	1	NA	0.969231	0.969231	12.9	36.3	38.9	19.5	19.2	11.2	NA	9.6	12.3	0	0	0	0	0
MS3_11559	1	0	0	0	0	1	NA	1	0.988764	NA	NA	0.764045	NA	NA	NA	NA	68.5	41.8	NA	NA	25.9	NA	NA	NA	0	0	0	0	1
MS3_11558	1	0	0	1	0	1	1	1	1	1	0.984615	0.984615	0.984615	1	1	11.4	11.9	17.6	12.4	11.4	33.3	7.6	10.2	11.4	0	0	0	0	1
MS3_11557	1	0	0	0	0	1	NA	1	1	0.875	0.875	0.875	NA	NA	NA	NA	5.7	57	4.2	4.7	13.5	NA	NA	NA	0	0	0	0	0
MS3_11556	0	0	0	0	0	1	NA	0.986301	NA	NA	NA	NA	NA	NA	NA	NA	39.8	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11555	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11554	0	0	1	1	0	1	0.974684	1	NA	1	1	1	NA	0.898734	0.974684	3.9	5.1	NA	2.5	7.2	21	NA	2.6	3.9	0	0	0	0	0
MS3_11553	0	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	13.9	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11552	1	0	0	0	0	0	0.921739	1	1	1	1	1	0.913043	0.921739	0.921739	52.1	98.3	96.5	54.8	14.2	88.7	50.8	54.7	51.3	0	0	0	0	0
MS3_11551	1	0	0	1	1	0	1	1	1	1	1	NA	1	1	1	73.6	81.4	81.4	80	80	NA	73.6	74.3	74.3	0	0	1	0	0
MS3_11550	1	0	0	1	0	1	0.830189	1	1	0.858491	0.858491	NA	0.830189	0.792453	0.783019	5.5	8.7	7.8	13.5	5.7	NA	5.9	4.8	6.7	0	0	0	0	0
MS3_11549	1	0	0	0	0	1	0.89	0.99	NA	0.92	0.85	NA	NA	NA	0.89	23.7	81.4	NA	24.7	47	NA	NA	NA	24.1	0	0	0	0	1
MS3_11548	1	0	0	0	0	1	NA	0.98773	0.969325	0.98773	0.957055	0.797546	NA	NA	NA	NA	42.3	32	22.1	25.2	18.7	NA	NA	NA	0	0	0	0	0
MS3_11546	1	0	0	0	0	1	NA	1	1	1	0.957746	0.901408	0.929577	0.943662	NA	NA	19.8	11.8	12.8	14.4	12.4	12.1	13.2	NA	0	0	0	0	0
MS3_11544	1	0	0	0	0	1	1	1	1	1	1	1	0.968504	NA	1	63.1	63.1	54.1	38.5	42.2	33.4	29.6	NA	38.1	1	0	1	1	0
MS3_11543	1	0	0	0	0	1	NA	1	0.94	NA	NA	NA	NA	NA	NA	NA	34.2	56.4	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11542	1	0	0	0	0	1	NA	1	0.990099	NA	NA	0.722772	NA	NA	NA	NA	12.7	11	NA	NA	34.7	NA	NA	NA	0	0	0	0	0
MS3_11541	0	0	1	1	0	1	0.8125	1	0.825	0.9875	0.9875	NA	NA	0.8625	0.8125	0.7	8.2	4.2	4.2	4.2	NA	NA	2.6	0.7	0	0	0	0	0
MS3_11540	0	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	84.3	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11537	1	0	0	0	0	1	NA	1	0.653659	NA	NA	NA	NA	NA	NA	NA	7.3	3.5	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11536	0	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	87.8	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11535	0	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	41.8	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11534	1	1	0	1	0	1	0.889447	1	0.979899	1	1	0.98995	NA	0.919598	0.934673	12.5	36	34.6	27.9	42.5	47	NA	11.9	12	0	0	0	0	1
MS3_11533	1	0	0	1	1	1	0.803738	0.878505	0.514019	0.878505	NA	0.850467	0.850467	0.869159	0.775701	50.5	85	43.1	58.3	NA	54.1	35.8	53.6	43.6	0	0	0	0	0
MS3_11532	1	0	1	1	1	1	0.984962	1	0.969925	0.992481	0.992481	0.804511	0.984962	0.954887	0.984962	13.3	21.5	16.7	19.7	20.2	21.3	10.5	13.8	13.3	0	0	0	0	0
MS3_11531	1	0	0	0	0	1	NA	1	0.990826	NA	NA	NA	NA	NA	NA	NA	12.8	18.6	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11530	1	0	0	0	0	1	NA	0.890909	1	0.881818	0.881818	0.918182	NA	NA	NA	NA	83.5	15.3	4.3	3.9	35.1	NA	NA	NA	0	0	0	0	0
MS3_11529	1	0	1	0	0	1	1	1	1	1	1	1	0.972603	NA	1	8.6	44.7	12.3	11.7	19.8	47.2	8.9	NA	8	0	0	0	0	0
MS3_11528	1	0	0	1	0	1	0.97546	1	1	1	1	1	0.96319	0.97546	0.97546	9.8	15	40.1	12	11	49	9.9	9.8	9.8	1	1	1	1	0
MS3_11527	1	0	0	1	1	1	0.84466	1	1	0.572816	0.61165	0.805825	0.84466	0.980583	1	13.5	16.8	22	9.7	9.2	11.9	12.9	13.6	14	0	0	0	0	0
MS3_11526	1	0	0	1	0	1	0.984615	1	1	1	NA	1	1	0.984615	0.984615	36.5	57.1	45.7	36.7	NA	31.3	34.6	36.6	37	0	0	0	0	1
MS3_11525	1	0	0	0	0	1	NA	1	0.994652	0.973262	0.973262	0.97861	NA	NA	NA	NA	27.3	18.2	17.9	21.9	52	NA	NA	NA	0	0	0	0	0
MS3_11524	1	0	0	0	0	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	44.9	7.9	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11523	1	0	0	0	0	1	NA	1	1	0.897436	0.902564	0.953846	NA	NA	NA	NA	33.2	35.1	19.3	19.1	26.5	NA	NA	NA	0	0	0	0	0
MS3_11522	1	0	0	0	0	1	NA	1	0.994012	0.88024	0.922156	NA	NA	NA	NA	NA	42.5	10.6	16.2	16.6	NA	NA	NA	NA	0	0	0	0	0
MS3_11521	1	0	0	0	0	1	NA	1	1	1	1	1	0.981818	NA	NA	NA	4.6	10	4.7	5.7	16.3	4.9	NA	NA	0	0	0	0	0
MS3_11520	1	0	0	0	0	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	2	2.2	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11519	0	0	0	0	0	1	0.992593	1	0.851852	1	0.977778	NA	0.992593	1	0.977778	7.7	18.3	5.4	13.4	12.8	NA	8.5	7.1	8	0	0	0	0	0
MS3_11518	1	0	0	0	0	1	NA	1	0.971831	0.894366	0.894366	0.922535	NA	NA	NA	NA	15.9	20.9	7.4	8.7	27.4	NA	NA	NA	0	0	0	0	0
MS3_11517	1	0	0	0	0	1	NA	1	NA	NA	1	0.993939	NA	NA	NA	NA	92.1	NA	NA	46.7	44.7	NA	NA	NA	0	0	0	0	0
MS3_11516	1	1	0	1	0	1	0.682796	0.956989	0.978495	0.930108	0.956989	0.784946	0.758065	0.666667	0.682796	7	12	49.3	10.9	10.9	42.1	7.3	4.8	7.1	0	0	0	0	0
MS3_11515	0	0	0	0	0	1	NA	1	0.96	NA	NA	NA	NA	NA	NA	NA	23.4	9	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11514	1	0	1	0	0	1	0.474654	1	0.59447	0.894009	0.894009	NA	NA	0.465438	0.442396	5.8	14.3	20.2	8.1	8.4	NA	NA	7.1	6.2	1	1	0	0	0
MS3_11513	1	0	0	0	0	1	NA	1	1	0.9	0.911111	0.888889	0.755556	0.794444	NA	NA	15	26.7	8.4	8.3	12.7	7.1	5.2	NA	0	0	0	0	0
MS3_11512	1	0	0	0	0	1	NA	0.99435	1	0.870056	0.909605	0.909605	NA	NA	NA	NA	21.5	18.6	10.8	14.2	16.4	NA	NA	NA	0	0	0	0	0
MS3_11511	1	0	0	0	0	1	NA	1	NA	0.863905	0.822485	0.87574	NA	NA	NA	NA	12.3	NA	6.3	5.9	7.2	NA	NA	NA	0	0	0	0	0
MS3_11510	1	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	17.2	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11509	1	1	0	1	0	0	1	1	1	0.987879	0.957576	NA	1	1	1	84.2	100	99.4	38.5	26.7	NA	84.8	85.5	84.2	0	0	0	0	0
MS3_11508	1	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	46.5	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11507	1	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11506	1	0	0	0	0	1	NA	0.887805	0.912195	0.960976	NA	NA	NA	NA	NA	NA	12.9	11	6.8	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11505	1	0	0	0	0	1	0.87	1	0.945	0.915	0.915	0.59	0.855	0.88	0.87	10.3	16	27.5	10.8	10.7	20	9.4	6.9	10.2	0	0	0	0	0
MS3_11504	1	0	0	0	0	1	1	1	0.995595	0.907489	0.806167	0.735683	NA	NA	NA	62.8	63.7	43.9	32.1	29.9	24.8	NA	NA	NA	0	0	0	0	0
MS3_11503	1	0	0	0	0	1	NA	1	0.804511	NA	NA	NA	NA	NA	NA	NA	89	17.6	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11502	1	0	0	0	0	1	NA	1	0.979058	0.937173	NA	0.921466	NA	NA	NA	NA	9.8	6.8	3.2	NA	15.1	NA	NA	NA	0	0	0	0	0
MS3_11501	1	0	0	0	0	1	NA	1	1	0.990826	1	1	NA	NA	NA	NA	7.8	8.6	2.4	6.1	14.6	NA	NA	NA	0	0	0	0	0
MS3_11500	1	0	0	0	0	1	NA	0.540541	NA	1	1	0.900901	NA	NA	NA	NA	35.6	NA	19.9	50.6	47.1	NA	NA	NA	0	0	0	0	0
MS3_11499	1	0	0	0	0	1	NA	1	0.933333	NA	NA	NA	NA	NA	NA	NA	7	24.3	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11498	1	0	0	0	0	1	NA	0.981818	0.890909	0.963636	1	0.939394	NA	NA	NA	NA	45.4	13.8	35.8	7.6	23	NA	NA	NA	0	0	0	0	0
MS3_11497	1	0	0	0	0	1	NA	1	NA	0.979021	0.979021	0.881119	NA	NA	NA	NA	7.6	NA	3.2	3.5	39	NA	NA	NA	0	0	0	0	0
MS3_11496	0	0	0	1	1	0	0.978495	1	0.924731	1	1	0.774194	0.989247	0.978495	0.978495	86.6	98.9	89.8	74.4	94.6	73.1	65.6	73.1	86.6	0	0	0	0	0
MS3_11495	1	0	0	0	0	1	NA	1	1	NA	0.960452	0.909605	NA	NA	NA	NA	28.6	28.4	NA	18.7	52.6	NA	NA	NA	0	0	0	0	0
MS3_11494	1	0	0	0	0	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	6.8	9.7	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11493	1	0	0	0	0	0	0.958904	1	NA	NA	NA	NA	0.958904	0.767123	0.90411	48.9	95.9	NA	NA	NA	NA	45.7	41.5	50	0	0	0	0	0
MS3_11492	1	0	0	0	0	1	NA	1	0.869565	NA	0.902174	NA	NA	NA	NA	NA	13.9	8.5	NA	2.5	NA	NA	NA	NA	0	0	0	0	0
MS3_11491	1	0	0	1	0	1	0.848921	0.996403	0.690647	0.985612	0.985612	0.92446	NA	0.845324	0.834532	12.2	22.7	11.5	15.8	16.5	44.8	NA	11.5	12.1	0	0	0	0	0
MS3_11490	1	0	0	0	0	1	NA	1	0.978102	0.970803	0.970803	0.956204	NA	NA	NA	NA	6.6	21.9	4.1	4	25.4	NA	NA	NA	0	0	0	0	0
MS3_11489	1	0	0	0	0	1	NA	0.825623	0.946619	0.83274	0.857651	NA	NA	NA	NA	NA	12	22.4	16.4	17.4	NA	NA	NA	NA	0	0	0	0	0
MS3_11488	1	0	1	0	0	1	1	1	1	NA	0.992857	0.978571	NA	0.957143	0.985714	5.4	10.2	48	NA	8.7	50	NA	5.6	12.7	0	0	0	0	0
MS3_11487	0	0	0	0	0	1	0.990654	1	0.985981	0.995327	0.995327	0.985981	NA	NA	NA	22.6	77.3	26.1	22.8	23.2	25	NA	NA	NA	0	0	0	0	0
MS3_11486	1	0	0	0	0	1	NA	0.996416	0.978495	NA	NA	NA	NA	NA	NA	NA	7.9	10.3	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11484	0	0	1	0	0	1	0.930233	0.930233	0.990698	0.818605	0.865116	0.753488	NA	NA	0.911628	2.2	18.7	15.9	45.6	7.4	12.5	NA	NA	2.2	0	0	0	0	0
MS3_11482	1	0	0	1	1	1	1	1	1	1	0.769231	NA	0.983516	1	1	9.8	12.9	21.2	14.4	11.5	NA	8.7	9.8	9.6	1	0	0	0	0
MS3_11481	1	0	0	0	0	1	NA	1	1	1	1	NA	NA	NA	NA	NA	28.3	31.5	7.6	12.6	NA	NA	NA	NA	0	0	0	0	0
MS3_11480	0	0	0	0	0	1	NA	0.912281	NA	NA	NA	NA	NA	NA	NA	NA	41.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11479	0	0	0	0	0	1	NA	0.995215	1	0.92823	0.92823	0.889952	NA	NA	NA	NA	12	13	6.4	6.7	14.5	NA	NA	NA	0	0	0	0	0
MS3_11478	1	0	0	0	0	1	NA	0.99270099999999994	0.99270099999999994	0.974453	0.927007	0.99635	NA	NA	NA	NA	37.6	39.1	29.6	19.5	30.5	NA	NA	NA	0	0	0	0	1
MS3_11477	1	0	0	1	0	1	1	1	1	1	1	0.923077	1	1	1	20.3	68.4	86.7	6.5	7	40.5	18.1	17.6	33.3	0	0	0	0	0
MS3_11476	0	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11475	1	0	0	0	0	1	NA	0.876652	NA	0.920705	0.903084	NA	NA	NA	NA	NA	19.4	NA	14.3	11	NA	NA	NA	NA	0	0	0	0	0
MS3_11474	1	0	0	0	0	1	NA	NA	0.946903	0.849558	1	0.876106	NA	NA	NA	NA	NA	5.9	7.2	7.7	23.5	NA	NA	NA	0	0	0	0	0
MS3_11473	1	0	0	0	0	1	NA	1	0.980695	0.92278	0.895753	0.92278	NA	NA	NA	NA	16.8	7.1	4.1	5.3	18.7	NA	NA	NA	0	0	0	0	0
MS3_11472	1	0	1	1	0	0	0.991453	1	1	1	1	NA	0.982906	0.991453	0.991453	78.8	100	88.6	94	94	NA	69.7	77.8	79.7	0	0	0	0	0
MS3_11471	1	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	63.5	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11470	1	0	0	0	0	1	0.839161	1	0.996503	NA	0.940559	0.954545	0.923077	0.818182	0.839161	28.5	56.3	53	NA	37.2	58.8	27.3	21.9	28.5	0	0	0	0	0
MS3_11469	1	0	0	0	0	0	0.933824	1	0.691176	NA	NA	0.948529	NA	0.911765	0.933824	46.4	85.4	56.6	NA	NA	61.8	NA	41.2	51	0	0	0	0	0
MS3_11468	1	0	0	0	0	1	0.933333	1	1	1	1	1	0.933333	0.908333	0.933333	33	45	42.4	34.7	41.9	42.9	27.4	30.6	33	0	0	0	0	0
MS3_11467	1	0	0	0	0	1	NA	1	1	0.967033	0.934066	0.945055	NA	NA	NA	NA	5.1	7.7	3.5	2.6	6.8	NA	NA	NA	0	0	0	0	0
MS3_11466	1	0	0	0	0	1	0.914815	1	0.9	0.988889	0.992593	0.985185	0.822222	0.885185	0.911111	42.8	80.1	24.1	47.6	45	53.7	28.9	41.6	45.4	0	0	0	0	0
MS3_11465	1	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11464	1	0	1	1	0	1	0.950617	NA	0.895062	1	0.944444	0.95679	NA	0.845679	0.950617	8.1	NA	8.8	6.3	5.7	31.2	NA	6.4	7.9	0	0	0	0	0
MS3_11463	0	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	40.6	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11459	1	0	0	0	0	1	NA	1	0.946524	NA	NA	NA	NA	NA	NA	NA	25.3	53.8	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11458	0	0	0	0	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	76.9	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11457	1	0	0	1	0	1	0.913043	0.904348	0.713043	1	0.886957	0.808696	0.843478	0.843478	0.982609	7.9	45.5	31.4	46.6	15.8	6.9	12.4	5.6	6.8	0	0	0	0	0
MS3_11455	1	0	1	1	1	0	0.995708	1	1	0.978541	0.815451	1	0.982833	0.991416	0.995708	50	70.2	69.6	21.7	16.6	71.6	48.3	50	50.2	0	0	0	0	0
MS3_11454	1	1	0	1	1	0	0.994949	1	1	0.994949	0.712121	0.621212	0.974747	0.979798	0.994949	73.9	99	96.5	91.5	24.5	56.3	73.1	67.6	73.4	0	0	0	0	0
MS3_11453	0	0	0	0	0	1	NA	1	1	1	1	1	NA	NA	NA	NA	25.1	17.3	7.1	7.1	8.3	NA	NA	NA	0	0	0	0	0
MS3_11452	0	0	0	0	1	1	NA	0.947867	0.919431	0.450237	0.554502	0.895735	0.957346	NA	NA	NA	23.4	21.4	8	9.5	44.2	11	NA	NA	0	0	0	0	0
MS3_11451	1	0	0	1	0	1	0.9	1	1	0.957143	0.957143	0.757143	0.971429	0.992857	0.95	22.6	41	92.1	19.4	37.7	22.9	20.5	25.1	23.5	0	0	0	0	0
MS3_11450	1	0	0	0	1	1	NA	0.993333	0.7	0.916667	0.793333	0.91	0.846667	NA	NA	NA	43.8	31.4	17.7	22.1	26.5	18.9	NA	NA	0	0	0	0	0
MS3_11449	1	0	0	0	0	1	NA	1	NA	0.966102	0.971751	0.858757	NA	NA	NA	NA	5.2	NA	17.3	6.8	14.8	NA	NA	NA	0	0	0	0	0
MS3_11448	1	0	0	0	0	1	NA	0.986301	0.958904	NA	NA	NA	NA	NA	NA	NA	13.9	10.6	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11447	1	0	0	1	0	1	1	1	1	1	0.875	1	NA	1	1	47.4	68.9	65.2	47.7	32.1	57	NA	43.3	47.8	0	0	0	0	1
MS3_11446	1	0	1	1	0	1	0.845018	1	0.789668	0.929889	0.922509	0.95941	0.819188	0.929889	0.845018	35.2	37.6	31.4	24.3	24.2	26.3	47.1	50.5	35.2	0	0	0	0	0
MS3_11445	0	0	0	0	0	1	NA	0.948718	0.979487	NA	NA	NA	NA	NA	NA	NA	19.2	27.5	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11444	0	0	0	0	0	1	NA	1	0.894009	NA	0.995392	0.986175	NA	NA	NA	NA	53.2	48.2	NA	39.8	35.7	NA	NA	NA	0	0	0	0	0
MS3_11443	1	0	0	1	1	1	0.990431	0.990431	0.92823	0.990431	0.990431	0.990431	0.990431	0.990431	0.990431	37.4	38.3	21.4	38.7	38.7	94.8	34.7	35.9	37.4	0	0	0	0	0
MS3_11442	1	0	0	0	0	1	NA	0.921053	NA	NA	NA	NA	NA	NA	NA	NA	3.1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11441	1	0	0	0	0	1	NA	1	1	0.852941	0.852941	NA	NA	NA	NA	NA	14.1	41.9	3.3	4.2	NA	NA	NA	NA	0	0	0	0	0
MS3_11440	1	0	0	0	0	1	NA	0.857143	0.731092	NA	NA	NA	NA	NA	NA	NA	22.4	17.2	NA	NA	NA	NA	NA	NA	0	0	0	0	0
MS3_11439	1	0	0	0	0	1	NA	1	0.975309	0.954733	0.91358	NA	NA	NA	NA	NA	12.9	9.1	4.1	3.8	NA	NA	NA	NA	0	0	0	0	0
MS3_11438	0	0	0	0	0	1	NA	0.981132	0.990566	NA	0.886792	NA	NA	NA	NA	NA	78.3	13.8	NA	14.7	NA	NA	NA	NA	0	0	0	0	0
MS3_11437	1	0	0	0	0	1	0.987654	1	1	0.95679	0.969136	1	NA	NA	0.987654	15.3	38.4	30.7	22.8	23.4	23.7	NA	NA	15.3	0	0	0	0	0
MS3_11436	1	0	0	1	0	1	1	1	1	1	1	1	0.987179	0.653846	0.717949	20.9	20.9	13.2	15.9	15.9	23.6	12.7	10.1	10.2	0	0	0	0	0
MS3_11435	1	0	0	0	0	1	NA	1	NA	0.94186	0.825581	NA	NA	NA	NA	NA	93.3	NA	52.7	46.8	NA	NA	NA	NA	0	0	0	0	0
MS3_11434	1	0	0	0	0	1	0.908602	0.973118	1	1	1	0.967742	NA	0.919355	0.956989	6.8	9.8	11.9	7.6	10.6	67.3	NA	6	7.2	0	0	0	0	0
