ipro_id	ipro_descr
IPR000048	IQ motif, EF-hand binding site
IPR005559	CG-1 DNA-binding domain
IPR001223	Glycoside hydrolase family 18, catalytic domain
IPR009851	Modifier of rudimentary, Modr
IPR001214	SET domain
IPR015353	Rubisco LSMT, substrate-binding domain
IPR001251	CRAL-TRIO lipid binding domain
IPR001936	Ras GTPase-activating protein
IPR000727	Target SNARE coiled-coil homology domain
IPR019258	Mediator complex, subunit Med4
IPR002791	Domain of unknown function DUF89
IPR018957	Zinc finger, C3HC4 RING-type
IPR004323	Divalent ion tolerance protein, CutA
IPR000467	G-patch domain
IPR007243	Atg6/Beclin
IPR006760	Endosulphine
IPR004365	OB-fold nucleic acid binding domain, AA-tRNA synthetase-type
IPR013955	Replication factor A, C-terminal
IPR031657	Replication protein A, OB domain
IPR032200	Transcription factor COE, DNA-binding domain
IPR025952	R3H-associated N-terminal domain
IPR001279	Metallo-beta-lactamase
IPR005822	Ribosomal protein L13
IPR003653	Ulp1 protease family, C-terminal catalytic domain
IPR007482	Protein-tyrosine phosphatase-like, PTPLA
IPR003131	Potassium channel tetramerisation-type BTB domain
IPR007009	SHQ1 protein
IPR032406	Cyclic nucleotide-gated channel, C-terminal leucine zipper domain
IPR031468	Synaptotagmin-like mitochondrial-lipid-binding domain
IPR008914	Phosphatidylethanolamine-binding protein
IPR019136	Transcription factor IIIC, subunit 5
IPR001752	Kinesin motor domain
IPR025901	Kinesin-associated microtubule-binding domain
IPR000061	SWAP/Surp
IPR019147	Suppressor of white apricot N-terminal domain
IPR000754	Ribosomal protein S9
IPR004254	AdipoR/Haemolysin-III-related
IPR001594	Palmitoyltransferase, DHHC domain
IPR010449	NUMB domain
IPR013979	Translation initiation factor, beta propellor-like domain
IPR032028	Cleavage stimulation factor subunit 1, dimerisation domain
IPR029454	ODR-4-like
IPR008422	Homeobox KN domain
IPR023082	Homeo-prospero domain
IPR019188	Small nuclear RNA activating complex (SNAPc), subunit SNAP43
IPR027902	Protein of unknown function DUF4487
IPR000014	PAS domain
IPR013969	Oligosaccharide biosynthesis protein Alg14-like
IPR003732	D-aminoacyl-tRNA deacylase DTD
IPR011987	ATPase, V1 complex, subunit H, C-terminal
IPR000990	Innexin
IPR006692	Coatomer, WD associated region
IPR004014	Cation-transporting P-type ATPase, N-terminal
IPR006068	Cation-transporting P-type ATPase, C-terminal
IPR006029	Neurotransmitter-gated ion-channel transmembrane domain
IPR006202	Neurotransmitter-gated ion-channel ligand-binding domain
IPR000330	SNF2-related, N-terminal domain
IPR023780	Chromo domain
IPR025260	Domain of unknown function DUF4208
IPR005606	Sec20
IPR000313	PWWP domain
IPR007919	Uncharacterised protein family UPF0220
IPR013170	mRNA splicing factor Cwf21 domain
IPR001878	Zinc finger, CCHC-type
IPR019384	Retinoic acid induced 16-like protein
IPR002423	Chaperonin Cpn60/TCP-1 family
IPR000407	Nucleoside phosphatase GDA1/CD39
IPR018289	MULE transposase domain
IPR006121	Heavy metal-associated domain, HMA
IPR006988	Nab, N-terminal
IPR006989	NAB co-repressor, domain
IPR006849	Elongator complex subunit Iki3
IPR029436	Eukaryotic glycogen debranching enzyme, N-terminal domain
IPR032788	Glycogen debranching enzyme, central domain
IPR032790	Glycogen debranching enzyme, C-terminal
IPR032792	Glycogen debranching enzyme, glucanotransferase domain
IPR001222	Zinc finger, TFIIS-type
IPR003618	Transcription elongation factor S-II, central domain
IPR017923	Transcription factor IIS, N-terminal
IPR001388	Synaptobrevin
IPR010598	D-glucuronyl C5-epimerase
IPR019774	Aromatic amino acid hydroxylase, C-terminal
IPR019424	Serpentine type 7TM GPCR chemoreceptor Srsx
IPR000571	Zinc finger, CCCH-type
IPR006816	ELMO domain
IPR028267	Rapamycin-insensitive companion of mTOR, N-terminal domain
IPR029452	Rapamycin-insensitive companion of mTOR, domain 5
IPR004843	Calcineurin-like phosphoesterase domain, ApaH type
IPR000783	RNA polymerase, subunit H/Rpb5 C-terminal
IPR005571	RNA polymerase, Rpb5, N-terminal
IPR001063	Ribosomal protein L22/L17
IPR029440	Dynein regulatory complex protein 1, C-terminal
IPR007533	Cytochrome c oxidase assembly protein CtaG/Cox11
IPR001254	Serine proteases, trypsin domain
IPR009602	FAM92 protein
IPR000552	Ribosomal protein L44e
IPR001569	Ribosomal protein L37e
IPR031964	Caspase recruitment domain
IPR014044	CAP domain
IPR000306	FYVE zinc finger
IPR006603	PQ-loop repeat
IPR000740	GrpE nucleotide exchange factor
IPR017868	Filamin/ABP280 repeat-like
IPR000967	Zinc finger, NF-X1-type
IPR001374	R3H domain
IPR005828	Major facilitator,  sugar transporter-like
IPR000789	Cyclin-dependent kinase, regulatory subunit
IPR007834	DSS1/SEM1
IPR031424	Protein quiver
IPR003593	AAA+ ATPase domain
IPR000866	Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant
IPR019479	Peroxiredoxin, C-terminal
IPR000648	Oxysterol-binding protein
IPR029334	Protein phosphatase 1 binding domain
IPR007871	Methyltransferase TRM13
IPR022776	TRM13/UPF0224 family, U11-48K-like CHHC zinc finger domain
IPR002379	V-ATPase proteolipid subunit C-like domain
IPR001664	Intermediate filament protein
IPR005122	Uracil-DNA glycosylase-like
IPR007305	Vesicle transport protein, Got1/SFT2-like
IPR028565	Mu homology domain
IPR007109	Brix domain
IPR003492	Batten's disease protein Cln3
IPR025313	Domain of unknown function DUF4217
IPR002777	Prefoldin beta-like
IPR026071	Glycosyl hydrolase family 99
IPR008862	T-complex 11
IPR016073	SKP1 component, POZ domain
IPR009011	Mannose-6-phosphate receptor binding domain
IPR028146	Glucosidase II beta subunit, N-terminal
IPR001199	Cytochrome b5-like heme/steroid binding domain
IPR019327	Protein of unknown function DUF2373
IPR006070	YrdC-like domain
IPR007471	Arginine-tRNA-protein transferase, N-terminal
IPR007472	Arginine-tRNA-protein transferase, C-terminal
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR028002	Myb/SANT-like DNA-binding domain
IPR009688	Domain of unknown function DUF1279
IPR021131	Ribosomal protein L18e/L15P
IPR002715	Nascent polypeptide-associated complex NAC domain
IPR013730	Fyv7/TAP26
IPR015927	Peptidase S24/S26A/S26B/S26C
IPR012966	Anillin homology domain
IPR000225	Armadillo
IPR031322	Shikimate kinase/gluconokinase
IPR001496	SOCS box domain
IPR022742	Serine aminopeptidase, S33
IPR010414	Protein FRG1
IPR001132	SMAD domain, Dwarfin-type
IPR003619	MAD homology 1, Dwarfin-type
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR008254	Flavodoxin/nitric oxide synthase
IPR021900	Protein of unknown function DUF3512
IPR000699	RIH (RyR and IP3R Homology) domain
IPR003032	Ryanodine receptor Ryr
IPR014821	Inositol 1,4,5-trisphosphate/ryanodine receptor
IPR016093	MIR motif
IPR022075	Symplekin  C-terminal
IPR032460	Symplekin/Pta1, N-terminal
IPR010796	B9 domain
IPR001781	Zinc finger, LIM-type
IPR031781	SF3A2 domain
IPR024371	Acetyl-coenzyme A transporter 1
IPR003409	MORN motif
IPR026246	Fibrous sheath-interacting protein 1
IPR019448	EEIG1/EHBP1 N-terminal domain
IPR020838	DBINO domain
IPR009460	Ryanodine Receptor TM 4-6
IPR013662	RyR/IP3R Homology associated domain
IPR023796	Serpin domain
IPR021384	Mediator complex, subunit Med21
IPR028945	WRB/Get1 family
IPR022750	Interferon regulatory factor 2-binding protein 1 & 2, zinc finger
IPR011678	ER membrane protein complex subunit 1, C-terminal
IPR028172	Intraflagellar transport protein 20
IPR000159	Ras-associating (RA) domain
IPR010441	CH-like domain in sperm protein
IPR024395	CLASP N-terminal domain
IPR008386	ATP synthase, F0 complex, subunit E, mitochondrial
IPR001623	DnaJ domain
IPR000418	Ets domain
IPR002222	Ribosomal protein S19/S15
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR002934	Polymerase, nucleotidyl transferase domain
IPR004130	GPN-loop GTPase
IPR013169	mRNA splicing factor, Cwf18
IPR006077	Vinculin/alpha-catenin
IPR004094	Antistasin-like domain
IPR001210	Ribosomal protein S17e
IPR007269	Isoprenylcysteine carboxyl methyltransferase
IPR008253	Marvel domain
IPR000560	Histidine phosphatase superfamily, clade-2
IPR021977	D domain of beta-TrCP
IPR019323	Active zone protein ELKS
IPR031777	Sortilin, C-terminal
IPR031778	Sortilin, N-terminal
IPR007853	Zinc finger, DNL-type
IPR008011	Complex 1 LYR protein
IPR002905	tRNA methyltransferase, Trm1
IPR000859	CUB domain
IPR002524	Cation efflux protein
IPR009852	T-complex protein 10, C-terminal domain
IPR015449	Potassium channel, calcium-activated, SK
IPR002159	CD36 family
IPR014830	Glycolipid transfer protein domain
IPR011527	ABC transporter type 1, transmembrane domain
IPR029090	Protein of unknown function DUF4659
IPR019385	Phosphorylated adapter RNA export protein, RNA-binding domain
IPR018499	Tetraspanin/Peripherin
IPR001580	Calreticulin/calnexin
IPR007593	CD225/Dispanin family
IPR015425	Formin, FH2 domain
IPR007707	Transforming acidic coiled-coil-containing protein, C-terminal
IPR007273	SCAMP
IPR019416	Nuclear cap-binding protein subunit 3
IPR005324	Ribosomal protein S5, C-terminal
IPR013810	Ribosomal protein S5, N-terminal
IPR002227	Tyrosinase copper-binding domain
IPR000722	RNA polymerase, alpha subunit
IPR007066	RNA polymerase Rpb1, domain 3
IPR007080	RNA polymerase Rpb1, domain 1
IPR007081	RNA polymerase Rpb1, domain 5
IPR007083	RNA polymerase Rpb1, domain 4
IPR019579	Uncharacterised protein family UPF0564
IPR003959	ATPase, AAA-type, core
IPR004201	CDC48, domain 2
IPR003100	PAZ domain
IPR003165	Piwi domain
IPR014811	Argonaute, linker 1 domain
IPR032472	Argonaute linker 2 domain
IPR032473	Protein argonaute, Mid domain
IPR032474	Protein argonaute, N-terminal
IPR012879	Protein of unknown function DUF1682
IPR005817	Wnt
IPR000772	Ricin B, lectin domain
IPR001173	Glycosyltransferase 2-like
IPR032435	Band 7, C-terminal extension
IPR000905	Gcp-like domain
IPR021567	Lens epithelium-derived growth factor (LEDGF)
IPR005078	Peptidase C54
IPR004245	Protein of unknown function DUF229
IPR000811	Glycosyl transferase, family 35
IPR005334	Tctex-1
IPR000175	Sodium:neurotransmitter symporter
IPR033371	Arginine and glutamate-rich protein 1
IPR003888	FY-rich, N-terminal
IPR003889	FY-rich, C-terminal
IPR007307	Low temperature viability protein
IPR003150	DNA-binding RFX-type winged-helix domain
IPR028926	CEP76, C2 domain
IPR001873	Epithelial sodium channel
IPR031336	Cell division control protein 73, C-terminal
IPR032041	Paf1 complex subunit Cdc73, N-terminal domain
IPR012936	Endoplasmic reticulum vesicle transporter, C-terminal
IPR002884	Proprotein convertase, P
IPR013922	Cyclin PHO80-like
IPR003392	Protein patched/dispatched
IPR013606	IMD/I-BAR domain
IPR032190	Niemann-Pick C1, N-terminal
IPR007716	NPL4, zinc-binding putative
IPR007717	Nuclear pore localisation protein NPL4, C-terminal
IPR024682	Nuclear pore localisation protein Npl4, ubiquitin-like domain
IPR000602	Glycoside hydrolase family 38, N-terminal domain
IPR011682	Glycosyl hydrolase family 38, C-terminal
IPR015341	Glycoside hydrolase family 38, central domain
IPR004788	Ribose 5-phosphate isomerase, type A
IPR029321	Integrator complex subunit 2
IPR009071	High mobility group box domain
IPR009543	Vacuolar protein sorting-associated protein 13, SHR-binding domain
IPR031645	Vacuolar protein sorting-associated protein 13, C-terminal
IPR031646	Vacuolar protein sorting-associated protein 13, second N-terminal domain
IPR010844	Occludin homology domain
IPR019464	RNA polymerase II elongation factor ELL, N-terminal
IPR006011	Syntaxin, N-terminal domain
IPR000832	GPCR, family 2, secretin-like
IPR001879	GPCR, family 2, extracellular hormone receptor domain
IPR000340	Dual specificity phosphatase, catalytic domain
IPR001202	WW domain
IPR003103	BAG domain
IPR002018	Carboxylesterase, type B
IPR035077	Phosphoenolpyruvate carboxykinase, GTP-utilising, C-terminal
IPR035078	Phosphoenolpyruvate carboxykinase, GTP-utilising, N-terminal
IPR022575	Neurogenic differentiation factor, domain of unknown function
IPR009361	RZZ complex, subunit Zw10
IPR000034	Laminin IV
IPR004177	DDHD domain
IPR002913	START domain
IPR004038	Ribosomal protein L7Ae/L30e/S12e/Gadd45
IPR009038	GOLD domain
IPR013748	Replication factor C, C-terminal
IPR011685	LETM1-like
IPR015590	Aldehyde dehydrogenase domain
IPR013926	CGI121/TPRKB
IPR011524	SARAH domain
IPR013907	Sds3-like
